# /tag10/information/recceipt_time, /tag10/information/coordinate_center/x, /tag10/filter/recceipt_time, /tag10/filter/coordinate_center/x, /tf/recceipt_time, /tf/transforms/0/transform/translation/x, /tf/recceipt_time, /tf/transforms/0/transform/translation/y, /tag10/information/recceipt_time, /tag10/information/coordinate_center/y, /tag10/filter/recceipt_time, /tag10/filter/coordinate_center/y, /tf/recceipt_time, /tf/transforms/0/transform/translation/z, /tag10/information/recceipt_time, /tag10/information/coordinate_center/z, /tag10/filter/recceipt_time, /tag10/filter/coordinate_center/z
1700053125.4019083977, 0.16256475947190551778, 1700053125.4019544125, 0.16258966108531153205, 1700053125.4274737835, 0.19993974473624165356, 1700053125.4274737835, 0.12455616499881019821, 1700053125.4019083977, 0.10072633422542054404, 1700053125.4019544125, 0.10075962851628769701, 1700053125.4274737835, 1.4312481824999347957, 1700053125.4019083977, 1.1590000391006469727, 1700053125.4019544125, 1.1592684722848969336
1700053125.4360017776, 0.16238427473922456556, 1700053125.4360184669, 0.16255075793956141883, 1700053125.4631307125, 0.19973203131005107247, 1700053125.4631307125, 0.12443532099158559345, 1700053125.4360017776, 0.10061534603055122261, 1700053125.4360184669, 0.10073229932581941048, 1700053125.4631307125, 1.4298842479003410766, 1700053125.4360017776, 1.1580001115798950195, 1700053125.4360184669, 1.159028226415049545
1700053125.4690749645, 0.16238427473922456556, 1700053125.4690899849, 0.16251922361251852633, 1700053125.4957606792, 0.19989391749995333303, 1700053125.4957606792, 0.12453012310849666255, 1700053125.4690749645, 0.10061534603055122261, 1700053125.4690899849, 0.10071014667946068255, 1700053125.4957606792, 1.431072989898432235, 1700053125.4690749645, 1.1580001115798950195, 1700053125.4690899849, 1.158833486589146311
1700053125.5020391941, 0.16240168122241271931, 1700053125.5020694733, 0.16249695938307373577, 1700053125.536793232, 0.20001423513515736996, 1700053125.536793232, 0.12456976861505229814, 1700053125.5020391941, 0.10066727758779947521, 1700053125.5020694733, 0.10070202665321334456, 1700053125.536793232, 1.4318066561511573198, 1700053125.5020391941, 1.1580001115798950195, 1700053125.5020694733, 1.1586756333040224565
1700053125.5352265835, 0.16252887807610250093, 1700053125.5352802277, 0.16250300524537525382, 1700053125.5715332031, 0.19996541789775112985, 1700053125.5715332031, 0.12456200670738437619, 1700053125.5352265835, 0.10075073601880646379, 1700053125.5352802277, 0.1007112529118481814, 1700053125.5715332031, 1.4316368277531816844, 1700053125.5352265835, 1.1590000391006469727, 1700053125.5352802277, 1.1587370804558352333
1700053125.5694627762, 0.1626649539258266941, 1700053125.5695111752, 0.16253368066874041009, 1700053125.6012327671, 0.20010991546426906695, 1700053125.6012327671, 0.12463676355769966186, 1700053125.5694627762, 0.10083212855122525298, 1700053125.5695111752, 0.1007341485069347814, 1700053125.6012327671, 1.4323387813093475529, 1700053125.5694627762, 1.1600000858306884766, 1700053125.5695111752, 1.1589763119486644616
1700053125.6021151543, 0.16294541257221339947, 1700053125.6022148132, 0.16261166864873982663, 1700053125.6342761517, 0.20006647600756233274, 1700053125.6342761517, 0.12460038350270309648, 1700053125.6021151543, 0.10100597719848991574, 1700053125.6022148132, 0.10078563679429228261, 1700053125.6342761517, 1.4318783220525130861, 1700053125.6021151543, 1.1620000600814819336, 1700053125.6022148132, 1.1595490535966066492
1700053125.6354494095, 0.16279904785223919816, 1700053125.6354875565, 0.1626471609811327157, 1700053125.6661322117, 0.19990797713259256252, 1700053125.6661322117, 0.12456012137285431274, 1700053125.6354494095, 0.10090581344698534849, 1700053125.6354875565, 0.10080839999118706984, 1700053125.6661322117, 1.4310456823775861146, 1700053125.6354494095, 1.1610000133514404297, 1700053125.6354875565, 1.1598238863685765843
1700053125.6699755192, 0.16285313618003982583, 1700053125.6699929237, 0.16268617566412726938, 1700053125.7023496628, 0.19970941071026959701, 1700053125.7023496628, 0.12439675056002091891, 1700053125.6699755192, 0.1009187577353998222, 1700053125.6699929237, 0.10082930334474274336, 1700053125.7023496628, 1.4296681248174349932, 1700053125.6699755192, 1.1610000133514404297, 1700053125.6699929237, 1.160046661836891424
1700053125.7018635273, 0.16257260492179170797, 1700053125.7170376778, 0.16266466372223722936, 1700053125.735711813, 0.19993801842758426868, 1700053125.735711813, 0.12455688041677215327, 1700053125.7018635273, 0.10074490958587034584, 1700053125.7170376778, 0.10081331794569180216, 1700053125.735711813, 1.4311167388247998389, 1700053125.7018635273, 1.1590000391006469727, 1700053125.7170376778, 1.1598484163467248642
1700053125.7352046967, 0.16239868407961211005, 1700053125.7610189915, 0.16261428332937882812, 1700053125.7681069374, 0.20009422373830340613, 1700053125.7681069374, 0.12458758702127613327, 1700053125.7352046967, 0.1006832432274862299, 1700053125.7610189915, 0.10078867991197064391, 1700053125.7681069374, 1.432100111847773416, 1700053125.7352046967, 1.1580001115798950195, 1700053125.7610189915, 1.1594983206801696696
1700053125.7695214748, 0.16239522583791909938, 1700053125.8050003052, 0.16257279067088289959, 1700053125.8023400307, 0.20003314916811659741, 1700053125.8023400307, 0.12456293653891699347, 1700053125.7695214748, 0.10064854533906952838, 1700053125.8050003052, 0.10076213639621085794, 1700053125.8023400307, 1.4316423452543698414, 1700053125.7695214748, 1.1580001115798950195, 1700053125.8050003052, 1.1592145381985072827
